Overriding config with config/train_shakespeare_char.py:
tokens per iteration will be: 16,384
effective global batch size (sequences) will be: 64
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
iter 3140: loss 0.9873, time 15.09ms, mfu 23.95%
iter 3150: loss 1.0015, time 14.79ms, mfu 24.08%
iter 3160: loss 1.0062, time 14.92ms, mfu 24.17%
iter 3170: loss 0.9674, time 15.04ms, mfu 24.23%
iter 3180: loss 0.9737, time 15.02ms, mfu 24.28%
iter 3190: loss 1.0044, time 14.93ms, mfu 24.35%
iter 3200: loss 0.9637, time 15.03ms, mfu 24.40%
iter 3210: loss 0.9727, time 15.48ms, mfu 24.36%
iter 3220: loss 0.9645, time 14.91ms, mfu 24.43%
iter 3230: loss 0.9654, time 15.01ms, mfu 24.47%
iter 3240: loss 0.9645, time 14.70ms, mfu 24.55%
step 3250: train loss 0.8285, val loss 1.5549
iter 3250: loss 0.9885, time 2609.46ms, mfu 22.11%
iter 3260: loss 0.9630, time 14.27ms, mfu 22.51%
iter 3270: loss 0.9787, time 14.41ms, mfu 22.85%
iter 3280: loss 0.9547, time 14.60ms, mfu 23.12%
iter 3290: loss 0.9467, time 14.37ms, mfu 23.40%
iter 3300: loss 0.9528, time 14.43ms, mfu 23.64%
iter 3310: loss 0.9588, time 14.32ms, mfu 23.88%
iter 3320: loss 0.9751, time 14.38ms, mfu 24.08%
iter 3330: loss 0.9616, time 14.50ms, mfu 24.24%
iter 3340: loss 0.9526, time 14.30ms, mfu 24.42%
iter 3350: loss 0.9598, time 14.59ms, mfu 24.54%
iter 3360: loss 0.9378, time 14.27ms, mfu 24.69%
iter 3370: loss 0.9615, time 14.39ms, mfu 24.81%
iter 3380: loss 0.9416, time 14.57ms, mfu 24.89%
iter 3390: loss 0.9555, time 14.44ms, mfu 24.98%
iter 3400: loss 0.9631, time 14.73ms, mfu 25.01%
iter 3410: loss 0.9544, time 14.34ms, mfu 25.11%
