run,type,x,loss,elapsed_s,iter_time_ms,mfu_percent,mem_gb
mp2_no_eval,iter,290,1.5818525552749634,24.16084909439087,,29.244845699350147,6.030284404754639
mp2_no_eval,iter,300,1.5759687423706055,42.449138164520264,,26.337451528512325,6.030284404754639
mp2_no_eval,iter,310,1.5564301013946533,25.51619005203247,,27.028470003810316,6.030284404754639
mp2_no_eval,iter,320,1.537476658821106,26.444212913513184,,27.856166483122674,6.030284404754639
mp2_no_eval,iter,330,1.5296900272369385,27.396560430526733,,28.641833884158903,6.030284404754639
mp2_no_eval,iter,340,1.5232537984848022,28.346845149993896,,29.23719450389178,6.030284404754639
mp2_no_eval,iter,350,1.5093574523925781,47.87132239341736,,26.329464615243488,6.030284404754639
mp2_no_eval,iter,360,1.4877859354019165,29.668261528015137,,27.20351285958234,6.030284404754639
mp2_no_eval,iter,370,1.466374397277832,30.553027153015137,,27.98686407415389,6.030284404754639
mp2_no_eval,iter,380,1.4469425678253174,31.55981969833374,,28.475449843041584,6.030284404754639
mp2_no_eval,iter,390,1.4517674446105957,32.484370470047,,29.081009128533346,6.030284404754639
mp2_no_eval,iter,400,1.41899573802948,48.94755792617798,,26.191971135246046,6.030284404754639
mp2_no_eval,iter,410,1.416434645652771,33.998997926712036,,24.58987178193198,6.030284404754639
mp2_no_eval,iter,420,1.4060583114624023,34.9022855758667,,25.745207739160726,6.030284404754639
mp2_no_eval,iter,430,1.3978626728057861,35.827016830444336,,26.65181640124726,6.030284404754639
mp2_no_eval,iter,440,1.3864035606384277,36.88092279434204,,27.581277111735638,6.030284404754639
mp2_no_eval,iter,450,1.3724994659423828,53.516823291778564,,24.841987023899556,6.030284404754639
mp2_no_eval,iter,460,1.3726844787597656,38.29295039176941,,25.897487323933127,6.030284404754639
mp2_no_eval,iter,470,1.3560190200805664,39.22720527648926,,26.238311618192018,6.030284404754639
mp2_no_eval,iter,480,1.3466397523880005,40.206928730010986,,26.548065136925636,6.030284404754639
mp2_no_eval,iter,490,1.3333927392959595,41.12151217460632,,27.355274055831046,6.030284404754639
mp2_no_eval,iter,500,1.3290350437164307,57.52875876426697,,24.638859634146023,6.030284404754639
mp2_no_eval,iter,510,1.32266366481781,42.48634576797485,,25.7109487711391,6.030284404754639
mp2_no_eval,iter,520,1.3181350231170654,43.45299220085144,,26.63600284119376,6.030284404754639
mp2_no_eval,iter,530,1.3004941940307617,44.41852355003357,,27.312032191381725,6.030284404754639
mp2_no_eval,iter,540,1.2774595022201538,45.32602119445801,,28.033742518118522,6.030284404754639
mp2_no_eval,iter,550,1.2733649015426636,61.95676398277283,,25.2492156175243,6.030284404754639
mp2_no_eval,iter,560,1.2735451459884644,46.66471886634827,,25.705427694762488,6.030284404754639
mp2_no_eval,iter,570,1.263965129852295,47.59584021568298,,26.56402870579186,6.030284404754639
mp2_no_eval,iter,580,1.252326250076294,48.50086832046509,,27.47317612959267,6.030284404754639
mp2_no_eval,iter,590,1.2513964176177979,49.46079444885254,,27.605022480326124,6.030284404754639
mp2_no_eval,iter,600,1.2445298433303833,65.86270570755005,,24.863623691790583,6.030284404754639
mp2_no_eval,iter,610,1.2307347059249878,50.82630729675293,,25.308253409836944,6.030284404754639
mp2_no_eval,iter,620,1.2340145111083984,51.7463903427124,,25.71674368659717,6.030284404754639
mp2_no_eval,iter,630,1.2124240398406982,52.67783451080322,,26.121079856361224,6.030284404754639
mp2_no_eval,iter,640,1.2054524421691895,53.64139366149902,,26.434354377467113,6.030284404754639
mp2_no_eval,iter,650,1.2044429779052734,69.98828959465027,,23.81012515117704,6.030284404754639
mp2_no_eval,iter,660,1.206935167312622,55.02203845977783,,24.54046909093137,6.030284404754639
mp2_no_eval,iter,670,1.2031543254852295,55.9463586807251,,25.369404525264105,6.030284404754639
mp2_no_eval,iter,680,1.1878355741500854,56.88607931137085,,25.80984944755268,6.030284404754639
mp2_no_eval,iter,690,1.1779985427856445,57.85838985443115,,26.565081177857795,6.030284404754639
mp2_no_eval,iter,700,1.1912260055541992,74.26148962974548,,23.927762230210707,6.030284404754639
mp2_no_eval,iter,710,1.1686899662017822,58.93117618560791,,24.465277437509886,6.030284404754639
mp2_no_eval,iter,720,1.16202712059021,59.87092041969299,,25.304639614231778,6.030284404754639
mp2_no_eval,iter,730,1.1666135787963867,60.83297348022461,,26.33751071376623,6.030284404754639
mp2_no_eval,iter,740,1.1612775325775146,61.755366802215576,,27.260900596113142,6.030284404754639
mp2_no_eval,iter,750,1.153651475906372,78.10195088386536,,24.553998252781206,6.030284404754639
mp2_no_eval,iter,760,1.145850658416748,62.81929850578308,,24.7667558803987,6.030284404754639
mp2_no_eval,iter,770,1.1396006345748901,63.753779888153076,,25.17824933333514,6.030284404754639
mp2_no_eval,iter,780,1.129604458808899,64.68614530563354,,25.476555746016473,6.030284404754639
mp2_no_eval,iter,790,1.1219851970672607,65.59160232543945,,25.774442927998436,6.030284404754639
mp2_no_eval,iter,800,1.104154109954834,81.73482489585876,,23.21650069488167,6.030284404754639
mp2_no_eval,iter,810,1.1178224086761475,66.6574981212616,,23.901577394172495,6.030284404754639
mp2_no_eval,iter,820,1.1061581373214722,67.56285190582275,,25.140861354670935,6.030284404754639
mp2_no_eval,iter,830,1.0984665155410767,68.4688925743103,,26.197029298337878,6.030284404754639
mp2_no_eval,iter,840,1.0901901721954346,69.36137628555298,,27.072703185021158,6.030284404754639
mp2_no_eval,iter,850,1.0787327289581299,85.73497033119202,,24.38460418538805,6.030284404754639
mp2_no_eval,iter,860,1.0864176750183105,70.41213536262512,,25.43994805595401,6.030284404754639
mp2_no_eval,iter,870,1.072785496711731,71.31370258331299,,26.36996385181859,6.030284404754639
mp2_no_eval,iter,880,1.0825337171554565,72.2810525894165,,27.341855372797863,6.030284404754639
mp2_no_eval,iter,890,1.064469814300537,73.18501877784729,,27.473936838551094,6.030284404754639
mp2_no_eval,iter,900,1.062412977218628,90.09044790267944,,24.745117369895407,6.030284404754639
mp2_no_eval,iter,910,1.0487805604934692,74.2897207736969,,25.174288797277782,6.030284404754639
mp2_no_eval,iter,920,1.0378124713897705,75.20701169967651,,25.973571263207024,6.030284404754639
mp2_no_eval,iter,930,1.0471742153167725,76.16607737541199,,26.911219507399576,6.030284404754639
mp2_no_eval,iter,940,1.0244898796081543,77.07868432998657,,27.699454232488275,6.030284404754639
mp2_no_eval,iter,950,1.0280277729034424,93.13465690612793,,24.949093213638815,6.030284404754639
mp2_no_eval,iter,960,1.0210442543029785,78.15175414085388,,25.429712829754834,6.030284404754639
mp2_no_eval,iter,970,1.012725591659546,79.07588791847229,,26.293015836285665,6.030284404754639
mp2_no_eval,iter,980,1.0136122703552246,79.99093961715698,,26.491181348226238,6.030284404754639
mp2_no_eval,iter,990,1.0069726705551147,80.92128229141235,,27.40070256290441,6.030284404754639
mp2_no_eval,iter,1000,0.9882718324661255,97.05204439163208,,24.680080843739237,6.030284404754639
mp2_no_eval,train_step,0,4.2749247550964355,0.0,,,
mp2_no_eval,train_step,50,2.4659883975982666,19.75668954849243,,,
mp2_no_eval,train_step,100,2.3343443870544434,24.474509477615356,,,
mp2_no_eval,train_step,150,1.9940612316131592,28.369354009628296,,,
mp2_no_eval,train_step,200,1.742569088935852,31.962361335754395,,,
mp2_no_eval,train_step,250,1.5858083963394165,36.16704034805298,,,
mp2_no_eval,train_step,300,1.4850578308105469,42.0191445350647,,,
mp2_no_eval,train_step,350,1.4077932834625244,47.46593260765076,,,
mp2_no_eval,train_step,400,1.3309221267700195,48.54373502731323,,,
mp2_no_eval,train_step,450,1.2734390497207642,53.10976719856262,,,
mp2_no_eval,train_step,500,1.236096978187561,57.11179494857788,,,
mp2_no_eval,train_step,550,1.1827014684677124,61.554901123046875,,,
mp2_no_eval,train_step,600,1.1496840715408325,65.44200229644775,,,
mp2_no_eval,train_step,650,1.1035237312316895,69.59054064750671,,,
mp2_no_eval,train_step,700,1.0703606605529785,74.14019322395325,,,
mp2_no_eval,train_step,750,1.0367568731307983,77.99634313583374,,,
mp2_no_eval,train_step,800,0.9916035532951355,81.62855243682861,,,
mp2_no_eval,train_step,850,0.9495770931243896,85.61577463150024,,,
mp2_no_eval,train_step,900,0.9098438024520874,89.96809816360474,,,
mp2_no_eval,train_step,950,0.8672826886177063,93.03244543075562,,,
mp2_no_eval,train_step,1000,0.8231133818626404,96.94666409492493,,,
mp2_no_eval,val_step,0,4.274969577789307,0.0,,,
mp2_no_eval,val_step,50,2.471134901046753,19.75668954849243,,,
mp2_no_eval,val_step,100,2.371419668197632,24.474509477615356,,,
mp2_no_eval,val_step,150,2.091625928878784,28.369354009628296,,,
mp2_no_eval,val_step,200,1.8936847448349,31.962361335754395,,,
mp2_no_eval,val_step,250,1.7684199810028076,36.16704034805298,,,
mp2_no_eval,val_step,300,1.688234806060791,42.0191445350647,,,
